IDs,pair,both_parsed,full_match,ligand_internal_match,metal_shell_match,mismatch_class
ABEWUZ,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEXAG,ILP / CSD,1,1,1,1,full_match
ABEXAG,ILP / NBO(DFT),1,1,1,1,full_match
ABEXAG,ILP / Hückel(DFT),1,1,1,1,full_match
ABEXAG,CSD / NBO(DFT),1,1,1,1,full_match
ABEXAG,CSD / Hückel(DFT),1,1,1,1,full_match
ABEXAG,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEXOU,ILP / CSD,1,1,1,1,full_match
ABEXOU,ILP / NBO(DFT),0,,,,
ABEXOU,ILP / Hückel(DFT),1,1,1,1,full_match
ABEXOU,CSD / NBO(DFT),0,,,,
ABEXOU,CSD / Hückel(DFT),1,1,1,1,full_match
ABEXOU,NBO(DFT) / Hückel(DFT),0,,,,
ABEXUA,ILP / CSD,1,1,1,1,full_match
ABEXUA,ILP / NBO(DFT),0,,,,
ABEXUA,ILP / Hückel(DFT),1,1,1,1,full_match
ABEXUA,CSD / NBO(DFT),0,,,,
ABEXUA,CSD / Hückel(DFT),1,1,1,1,full_match
ABEXUA,NBO(DFT) / Hückel(DFT),0,,,,
ABEYUD,ILP / CSD,1,1,1,1,full_match
ABEYUD,ILP / NBO(DFT),1,1,1,1,full_match
ABEYUD,ILP / Hückel(DFT),1,1,1,1,full_match
ABEYUD,CSD / NBO(DFT),1,1,1,1,full_match
ABEYUD,CSD / Hückel(DFT),1,1,1,1,full_match
ABEYUD,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEZAJ,ILP / CSD,1,1,1,1,full_match
ABEZAJ,ILP / NBO(DFT),1,1,1,1,full_match
ABEZAJ,ILP / Hückel(DFT),1,1,1,1,full_match
ABEZAJ,CSD / NBO(DFT),1,1,1,1,full_match
ABEZAJ,CSD / Hückel(DFT),1,1,1,1,full_match
ABEZAJ,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEZEO,ILP / CSD,1,1,1,1,full_match
ABEZEO,ILP / NBO(DFT),1,1,1,1,full_match
ABEZEO,ILP / Hückel(DFT),1,1,1,1,full_match
ABEZEO,CSD / NBO(DFT),1,1,1,1,full_match
ABEZEO,CSD / Hückel(DFT),1,1,1,1,full_match
ABEZEO,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABEZIS,ILP / CSD,1,1,1,1,full_match
ABEZIS,ILP / NBO(DFT),1,1,1,1,full_match
ABEZIS,ILP / Hückel(DFT),1,1,1,1,full_match
ABEZIS,CSD / NBO(DFT),1,1,1,1,full_match
ABEZIS,CSD / Hückel(DFT),1,1,1,1,full_match
ABEZIS,NBO(DFT) / Hückel(DFT),1,1,1,1,full_match
ABGTCU,ILP / CSD,0,,,,
ABGTCU,ILP / NBO(DFT),0,,,,
ABGTCU,ILP / Hückel(DFT),0,,,,
ABGTCU,CSD / NBO(DFT),1,1,1,1,full_match
ABGTCU,CSD / Hückel(DFT),1,1,1,1,full_match
