IDs,xyz2mol_status,error_type,elapsed_s,ilp_seconds,n_atoms
TIWHAJ,fail,AttributeError,,0.1428,69
TIWHEN,fail,AttributeError,,0.0862,59
TIWHIR,fail,AttributeError,,0.1020,75
TONPIW,fail,AttributeError,,0.0940,62
TOXBOX,fail,ArgumentError,,0.3555,83
TPHDFC,fail,ArgumentError,,0.0789,54
TUBVAP,fail,AttributeError,,0.2573,81
UCIGAP,fail,KekulizeException,,0.1069,63
UCIGUJ,fail,KekulizeException,,0.1699,63
UCILIE,fail,mol_is_none,0.9405,0.1439,82
UCOXUI,timeout,timeout,300.0,1.2726,73
UDOCIA,fail,mol_is_none,0.0618,0.0468,39
UDOPOT,fail,AttributeError,,0.1274,69
UDOQEK,fail,AttributeError,,0.1327,75
UFUHEL,fail,ArgumentError,,0.3409,39
UHEGIX,timeout,timeout,300.0,0.1161,85
UJITAI,fail,ArgumentError,,0.6146,69
ULONOY,fail,ArgumentError,,0.1356,42
UQUXAG,fail,ArgumentError,,0.3060,33
USEKEJ,fail,AttributeError,,0.0998,56
UTANIO,fail,AttributeError,,0.1602,71
UTANOU,fail,AttributeError,,0.1338,67
UTANUA,fail,AttributeError,,0.1525,67
UTAPAI,fail,AttributeError,,0.1948,68
UTEGEG,fail,ArgumentError,,0.0918,68
UTOWEH,fail,ArgumentError,,0.1336,85
UTOXEI,fail,ArgumentError,,0.1428,85
UVEXIE,fail,ArgumentError,,0.0909,69
UVIWON,fail,ArgumentError,,0.1150,81
UVIXAA,fail,ArgumentError,,0.0999,65
UVIXEE,fail,ArgumentError,,0.1130,77
UVIXII,fail,ArgumentError,,0.0974,65
VAHMOG,fail,AttributeError,,0.4659,84
VAJMEA,fail,AttributeError,,0.2695,62
VAMCER,fail,ArgumentError,,0.2537,50
VAVRER,timeout,timeout,300.0,0.2069,61
VEBCOV,fail,AttributeError,,0.4378,77
VEKTIO,fail,AttributeError,,0.3133,61
VEKTOU,fail,AttributeError,,0.3242,61
VENHED,fail,ArgumentError,,0.1486,64
VEXJOZ,fail,KekulizeException,,0.0947,71
VEXKAM,fail,KekulizeException,,0.0958,71
VIDCOA,fail,AttributeError,,0.0574,55
VIRXAW,fail,ArgumentError,,0.1251,67
VIRXIE,fail,ArgumentError,,0.1189,75
VIRXOK,fail,ArgumentError,,0.1294,61
VIWCAG,fail,ArgumentError,,0.1070,69
VIWPIB,fail,ArgumentError,,0.1604,61
VOGLIM,fail,AttributeError,,0.1280,61
VOMBEE,fail,ArgumentError,,0.0736,59
VOVSOQ,fail,AttributeError,,0.0888,61
VOVSUW,fail,AttributeError,,0.0917,67
VOXRIJ,fail,ArgumentError,,0.4297,45
VUDMAJ,fail,AttributeError,,0.1351,72
VUDTUL,fail,ArgumentError,,0.0845,65
VUGCAD,fail,ArgumentError,,0.1138,82
VUNLOF,fail,ArgumentError,,0.0990,76
VUNMEW,fail,ArgumentError,,0.1696,81
WAQBAU,fail,ArgumentError,,0.1010,77
WARQEO,fail,mol_is_none,14.7921,0.1027,79
WAWPAO,fail,ArgumentError,,0.2430,47
WAXFEI,fail,AttributeError,,0.0601,72
WAYKIQ,fail,AttributeError,,0.2092,72
WEDYIO,fail,mol_is_none,0.1294,0.3054,65
WEGQIL,fail,AttributeError,,0.0641,64
WEPGIJ,fail,AttributeError,,0.1930,56
WEPTUI,fail,ArgumentError,,0.1452,82
WEPXEW,fail,AttributeError,,0.1513,85
WETGOS,fail,AttributeError,,0.2107,77
WETKOX,timeout,timeout,300.0,0.4094,79
WEWHEL,fail,AttributeError,,0.0744,55
WEXZUX,fail,ArgumentError,,0.1374,63
WIDPIK,fail,AttributeError,,0.1231,60
WIJREN,fail,ArgumentError,,0.1700,65
WIJZEV,timeout,timeout,300.0,0.5082,71
WILVOE,invalid_charge,invalid_charge,,0.1040,61
WILVUK,invalid_charge,invalid_charge,,0.0567,32
WINJIO,invalid_charge,invalid_charge,,0.1139,65
WIPJUD,fail,AttributeError,,0.1671,80
WIPSAP,timeout,timeout,300.0,0.0944,71
WISHIR,invalid_charge,invalid_charge,,0.1132,77
WISHOX,invalid_charge,invalid_charge,,0.0746,52
WITCOR,fail,AttributeError,,0.0998,73
WIYHOB,fail,ArgumentError,,0.1224,55
WOFQEP,fail,ArgumentError,,0.3748,57
WOJDAB,fail,AttributeError,,0.1295,61
WOKMAL,fail,AttributeError,,0.1839,83
WORCOV,fail,ArgumentError,,0.4394,83
WOWDIX,fail,AttributeError,,0.1544,50
WUHJUF,fail,ArgumentError,,0.2131,64
WUHKAM,fail,ArgumentError,,0.1385,65
WUHLAM,fail,mol_is_none,0.4026,0.1267,85
WUHLEQ,fail,mol_is_none,0.3138,0.2561,77
WUNCIR,fail,ArgumentError,,0.2107,77
WUPDOA,fail,ArgumentError,,0.1158,54
XANREK,fail,ArgumentError,,0.2115,76
XEMTUG,fail,AttributeError,,0.0480,27
XEPVAQ,fail,AttributeError,,0.1205,81
XESBUU,fail,ArgumentError,,0.3529,44
XESCAB,fail,ArgumentError,,0.2562,44
XESCEF,fail,ArgumentError,,0.3650,44
XESCIJ,fail,ArgumentError,,0.2151,44
XESCOP,fail,ArgumentError,,0.3560,44
XESCUV,fail,ArgumentError,,0.2918,44
XESDAC,fail,ArgumentError,,0.3716,44
XEVMAN,fail,mol_is_none,0.0594,0.1525,68
XEYQIB,timeout,timeout,300.0,0.9035,62
XEYQOH,timeout,timeout,300.0,1.0005,62
XIFREM,fail,mol_is_none,181.8125,0.1603,83
XILQAM,fail,AttributeError,,0.1788,81
XITJAN,fail,mol_is_none,0.0602,0.3193,44
XIVLAR,timeout,timeout,300.0,0.4394,85
XIWHAO,fail,ArgumentError,,0.1890,59
XIYYIN,timeout,timeout,300.0,0.1076,80
XOSPIG,timeout,timeout,300.0,0.1503,80
XOSTUW,fail,ArgumentError,,0.0952,64
XOSVAC,fail,ArgumentError,,0.2549,76
XOWMUT,fail,AttributeError,,0.0803,43
XUJXUV,fail,mol_is_none,0.1077,0.0800,57
XUJYAC,fail,mol_is_none,0.1076,0.0785,57
XUKWUX,fail,ArgumentError,,0.1437,82
XUPJAU,fail,ArgumentError,,0.1022,75
XUPJEY,fail,ArgumentError,,0.1463,76
YAFSAC,fail,mol_is_none,0.2335,0.2607,53
YAQCIC,fail,ArgumentError,,0.3984,73
YAVFEG,fail,AttributeError,,0.3352,80
YEBYIQ,fail,AttributeError,,0.0758,50
YEHBAP,fail,AttributeError,,0.0656,84
YEXNIB,fail,mol_is_none,0.1344,0.0754,38
YIBVAG,fail,AttributeError,,0.3400,66
YIBVIO,fail,AttributeError,,0.3217,53
YICKIG,timeout,timeout,300.0,0.5122,71
YICKOM,timeout,timeout,300.0,0.4145,73
YIJLAE,fail,ArgumentError,,0.2206,75
YIRCUX,timeout,timeout,300.0,0.2325,70
YIXGAO,fail,ArgumentError,,0.0923,75
YIZCUF,fail,ArgumentError,,0.2299,68
YOGQAO,fail,AttributeError,,0.1044,65
YOHRAO,fail,AttributeError,,0.5771,70
YOJCOP,fail,AttributeError,,0.4028,60
YOLHOX,fail,ArgumentError,,0.1138,83
YOXKUS,fail,ArgumentError,,0.1949,52
YOXLAZ,fail,ArgumentError,,0.1957,52
YOXYUF,fail,ArgumentError,,0.1661,82
YOXZAM,fail,ArgumentError,,0.1650,84
ZAPJEF,fail,ArgumentError,,0.1597,83
ZAPJIJ,fail,ArgumentError,,0.2026,83
ZAPQIT,fail,AttributeError,,0.1599,63
ZAPQUF,fail,AttributeError,,0.2500,71
ZAXFEL,fail,ArgumentError,,0.0786,38
ZAXFUB,fail,ArgumentError,,0.0820,40
ZEQFEG,fail,ArgumentError,,0.4934,46
ZEQXIC,fail,ArgumentError,,0.1146,75
ZERFAG,fail,ArgumentError,,0.0912,69
ZERFEK,fail,ArgumentError,,0.1744,70
ZEWKAQ,fail,mol_is_none,0.6904,0.3270,83
ZIGHOO,fail,ArgumentError,,0.1108,85
ZISBAE,fail,ArgumentError,,0.1369,85
ZITSIH,fail,mol_is_none,45.2779,0.1486,47
ZOCBEY,fail,AttributeError,,0.3928,75
ZOGCON,fail,AttributeError,,0.3395,42
ZOHTOF,fail,mol_is_none,0.3754,0.0485,40
ZOMPOI,timeout,timeout,300.0,0.1170,77
ZOMPUO,timeout,timeout,300.0,0.1206,85
ZOMQEX,fail,AtomValenceException,,0.0719,61
ZOMVIG,fail,AttributeError,,0.3068,58
ZORNOL,fail,ArgumentError,,0.1033,73
ZOSMIG,fail,ArgumentError,,0.1345,77
ZUHCIO,timeout,timeout,300.0,0.3607,60
ZUSSUB,timeout,timeout,300.0,1.2313,79
